sentence,tokens,person1,person2,person1_word_idx,person2_word_idx,location1,location2,family1,family2,location_yes,family_yes
"The two main sampling techniques used as per statistical needs are : • Probability samplings such as cluster sampling , random sampling , and stratified sampling • Non -probability samplings such as quota sampling , convenience sampling , and snowball sampling .Outline the differences between supervised and unsupervised learning .","['The', 'two', 'main', 'sampling', 'techniques', 'used', 'as', 'per', 'statistical', 'needs', 'are', ':', '•', 'Probability', 'samplings', 'such', 'as', 'cluster', 'sampling', ',', 'random', 'sampling', ',', 'and', 'stratified', 'sampling', '•', 'Non', '-probability', 'samplings', 'such', 'as', 'quota', 'sampling', ',', 'convenience', 'sampling', ',', 'and', 'snowball', 'sampling', '.Outline', 'the', 'differences', 'between', 'supervised', 'and', 'unsupervised', 'learning', '.']",two,• Non,"(1, 1)","(12, 26, 27)",0,0,0,0,0,0
"Structured , semi -structured , and unstructured data are the three types of data in big data .","['Structured', ',', 'semi', '-structured', ',', 'and', 'unstructured', 'data', 'are', 'the', 'three', 'types', 'of', 'data', 'in', 'big', 'data', '.']",Structured,three,"(0, 0)","(10, 10)",0,0,0,0,0,0
"Volume , Velocity , Variety , Veracity , and Value are the five V ’ s of big data .","['Volume', ',', 'Velocity', ',', 'Variety', ',', 'Veracity', ',', 'and', 'Value', 'are', 'the', 'five', 'V', '’', 's', 'of', 'big', 'data', '.']",Value,five,"(9, 9)","(12, 12)",0,0,0,0,0,0
"NLP stands for Natural Language Processing , which is a process of extracting information from text data .","['NLP', 'stands', 'for', 'Natural', 'Language', 'Processing', ',', 'which', 'is', 'a', 'process', 'of', 'extracting', 'information', 'from', 'text', 'data', '.']",NLP,Natural Language Processing,"(0, 0)","(3, 4)",0,0,0,0,0,0
Correlation and covariance are two measures of how two variables are related .,"['Correlation', 'and', 'covariance', 'are', 'two', 'measures', 'of', 'how', 'two', 'variables', 'are', 'related', '.']",two,two,"(4, 4)","(4, 4)",0,0,0,0,0,0
"Correlation is a measure of how two variables vary together , while covariance is a measure of how two variables vary in relation to each other .","['Correlation', 'is', 'a', 'measure', 'of', 'how', 'two', 'variables', 'vary', 'together', ',', 'while', 'covariance', 'is', 'a', 'measure', 'of', 'how', 'two', 'variables', 'vary', 'in', 'relation', 'to', 'each', 'other', '.']",two,two,"(6, 6)","(6, 6)",0,1,0,0,1,0
The Hamming distance and the Levenshtein distance are two methods for comparing the distance between two binary strings .,"['The', 'Hamming', 'distance', 'and', 'the', 'Levenshtein', 'distance', 'are', 'two', 'methods', 'for', 'comparing', 'the', 'distance', 'between', 'two', 'binary', 'strings', '.']",Levenshtein,two,"(5, 5)","(8, 8)",0,0,0,0,0,0
The Hamming distance and the Levenshtein distance are two methods for comparing the distance between two binary strings .,"['The', 'Hamming', 'distance', 'and', 'the', 'Levenshtein', 'distance', 'are', 'two', 'methods', 'for', 'comparing', 'the', 'distance', 'between', 'two', 'binary', 'strings', '.']",Levenshtein,two,"(5, 5)","(8, 8)",0,0,0,0,0,0
The Hamming distance and the Levenshtein distance are two methods for comparing the distance between two binary strings .,"['The', 'Hamming', 'distance', 'and', 'the', 'Levenshtein', 'distance', 'are', 'two', 'methods', 'for', 'comparing', 'the', 'distance', 'between', 'two', 'binary', 'strings', '.']",two,two,"(8, 8)","(8, 8)",0,0,0,0,0,0
The number of bits that differ between two strings is defined as the Hamming distance .,"['The', 'number', 'of', 'bits', 'that', 'differ', 'between', 'two', 'strings', 'is', 'defined', 'as', 'the', 'Hamming', 'distance', '.']",two,Hamming,"(7, 7)","(13, 13)",0,1,0,0,1,0
"The number of edit operations ( insert , delete , o r replace ) required to transform one string into another is represented by the Levenshtein distance .","['The', 'number', 'of', 'edit', 'operations', '(', 'insert', ',', 'delete', ',', 'o', 'r', 'replace', ')', 'required', 'to', 'transform', 'one', 'string', 'into', 'another', 'is', 'represented', 'by', 'the', 'Levenshtein', 'distance', '.']",one,Levenshtein,"(17, 17)","(25, 25)",0,0,0,0,0,0
Nunique function is an aggregation function in PostgreSQL .,"['Nunique', 'function', 'is', 'an', 'aggregation', 'function', 'in', 'PostgreSQL', '.']",Nunique,PostgreSQL,"(0, 0)","(7, 7)",1,0,0,0,1,0
.Is SVM a classification Algorithm ?,"['.Is', 'SVM', 'a', 'classification', 'Algorithm', '?']",SVM,Algorithm,"(1, 1)","(4, 4)",0,0,0,0,0,0
"Univariate analysis has one variable , whereas bivariate analysis has two variables .","['Univariate', 'analysis', 'has', 'one', 'variable', ',', 'whereas', 'bivariate', 'analysis', 'has', 'two', 'variables', '.']",one,two,"(3, 3)","(10, 10)",0,0,0,0,0,0
"A Pandas Index is a mutable , ordered set that can be used to index data in a Pandas DataFrame .","['A', 'Pandas', 'Index', 'is', 'a', 'mutable', ',', 'ordered', 'set', 'that', 'can', 'be', 'used', 'to', 'index', 'data', 'in', 'a', 'Pandas', 'DataFrame', '.']",Pandas,Pandas DataFrame,"(1, 1)","(1, 18, 19)",0,0,0,0,0,0
.List some benefits of using TensorFlow There are many advantages to using TensorFlow .,"['.List', 'some', 'benefits', 'of', 'using', 'TensorFlow', 'There', 'are', 'many', 'advantages', 'to', 'using', 'TensorFlow', '.']",TensorFlow,TensorFlow,"(5, 5)","(5, 5)",0,1,0,0,1,0
Wrapper method includes : • Forward selection : One feature is tested at a time and added till a good fit is achieved • Backward selection : All features are tested and those not fit are removed to find which fits best .,"['Wrapper', 'method', 'includes', ':', '•', 'Forward', 'selection', ':', 'One', 'feature', 'is', 'tested', 'at', 'a', 'time', 'and', 'added', 'till', 'a', 'good', 'fit', 'is', 'achieved', '•', 'Backward', 'selection', ':', 'All', 'features', 'are', 'tested', 'and', 'those', 'not', 'fit', 'are', 'removed', 'to', 'find', 'which', 'fits', 'best', '.']",One,• Backward,"(8, 8)","(4, 23, 24)",0,0,0,0,0,0
Filter method includes : • Chi-square • ANOVA • Linear discrimination analysis • Filter methods involve cleaning up the data .,"['Filter', 'method', 'includes', ':', '•', 'Chi', '-', 'square', '•', 'ANOVA', '•', 'Linear', 'discrimination', 'analysis', '•', 'Filter', 'methods', 'involve', 'cleaning', 'up', 'the', 'data', '.']",• Chi-square,• Filter,"(4, 5)","(0, 4, 8, 10, 14, 15)",0,0,0,0,0,0
"Below are the steps for building a decision tree : For input , take the whole data set • Calculate the entropy of the class variables and predictor attributes • Calculate entropy after splitting the attributes • Calculate information gain of all attribute splits • Select as root node the attribute with the highest information gain • Repeat the process for all branches until you finalize the decision node of each branch For example , if you want to make a decision tree for deciding whether you should buy a certain flat or not , this is how the decision tree may look like : We can see from the decision tree that the flat will be bought if : The cost of the flat is less than INR  The premises has walking track , gym , and swimming pool .Does overfitting occur only when you have a large amount of data for training ?","['Below', 'are', 'the', 'steps', 'for', 'building', 'a', 'decision', 'tree', ':', 'For', 'input', ',', 'take', 'the', 'whole', 'data', 'set', '•', 'Calculate', 'the', 'entropy', 'of', 'the', 'class', 'variables', 'and', 'predictor', 'attributes', '•', 'Calculate', 'entropy', 'after', 'splitting', 'the', 'attributes', '•', 'Calculate', 'information', 'gain', 'of', 'all', 'attribute', 'splits', '•', 'Select', 'as', 'root', 'node', 'the', 'attribute', 'with', 'the', 'highest', 'information', 'gain', '•', 'Repeat', 'the', 'process', 'for', 'all', 'branches', 'until', 'you', 'finalize', 'the', 'decision', 'node', 'of', 'each', 'branch', 'For', 'example', ',', 'if', 'you', 'want', 'to', 'make', 'a', 'decision', 'tree', 'for', 'deciding', 'whether', 'you', 'should', 'buy', 'a', 'certain', 'flat', 'or', 'not', ',', 'this', 'is', 'how', 'the', 'decision', 'tree', 'may', 'look', 'like', ':', 'We', 'can', 'see', 'from', 'the', 'decision', 'tree', 'that', 'the', 'flat', 'will', 'be', 'bought', 'if', ':', 'The', 'cost', 'of', 'the', 'flat', 'is', 'less', 'than', 'INR', ' ', 'The', 'premises', 'has', 'walking', 'track', ',', 'gym', ',', 'and', 'swimming', 'pool', '.Does', 'overfitting', 'occur', 'only', 'when', 'you', 'have', 'a', 'large', 'amount', 'of', 'data', 'for', 'training', '?']",• Calculate,• Calculate,"(18, 19)","(18, 19, 29, 30, 36, 37, 44, 56)",0,0,0,0,0,0
"Below are the steps for building a decision tree : For input , take the whole data set • Calculate the entropy of the class variables and predictor attributes • Calculate entropy after splitting the attributes • Calculate information gain of all attribute splits • Select as root node the attribute with the highest information gain • Repeat the process for all branches until you finalize the decision node of each branch For example , if you want to make a decision tree for deciding whether you should buy a certain flat or not , this is how the decision tree may look like : We can see from the decision tree that the flat will be bought if : The cost of the flat is less than INR  The premises has walking track , gym , and swimming pool .Does overfitting occur only when you have a large amount of data for training ?","['Below', 'are', 'the', 'steps', 'for', 'building', 'a', 'decision', 'tree', ':', 'For', 'input', ',', 'take', 'the', 'whole', 'data', 'set', '•', 'Calculate', 'the', 'entropy', 'of', 'the', 'class', 'variables', 'and', 'predictor', 'attributes', '•', 'Calculate', 'entropy', 'after', 'splitting', 'the', 'attributes', '•', 'Calculate', 'information', 'gain', 'of', 'all', 'attribute', 'splits', '•', 'Select', 'as', 'root', 'node', 'the', 'attribute', 'with', 'the', 'highest', 'information', 'gain', '•', 'Repeat', 'the', 'process', 'for', 'all', 'branches', 'until', 'you', 'finalize', 'the', 'decision', 'node', 'of', 'each', 'branch', 'For', 'example', ',', 'if', 'you', 'want', 'to', 'make', 'a', 'decision', 'tree', 'for', 'deciding', 'whether', 'you', 'should', 'buy', 'a', 'certain', 'flat', 'or', 'not', ',', 'this', 'is', 'how', 'the', 'decision', 'tree', 'may', 'look', 'like', ':', 'We', 'can', 'see', 'from', 'the', 'decision', 'tree', 'that', 'the', 'flat', 'will', 'be', 'bought', 'if', ':', 'The', 'cost', 'of', 'the', 'flat', 'is', 'less', 'than', 'INR', ' ', 'The', 'premises', 'has', 'walking', 'track', ',', 'gym', ',', 'and', 'swimming', 'pool', '.Does', 'overfitting', 'occur', 'only', 'when', 'you', 'have', 'a', 'large', 'amount', 'of', 'data', 'for', 'training', '?']",• Calculate,• Calculate,"(18, 19)","(18, 19, 29, 30, 36, 37, 44, 56)",0,0,0,0,0,0
"Below are the steps for building a decision tree : For input , take the whole data set • Calculate the entropy of the class variables and predictor attributes • Calculate entropy after splitting the attributes • Calculate information gain of all attribute splits • Select as root node the attribute with the highest information gain • Repeat the process for all branches until you finalize the decision node of each branch For example , if you want to make a decision tree for deciding whether you should buy a certain flat or not , this is how the decision tree may look like : We can see from the decision tree that the flat will be bought if : The cost of the flat is less than INR  The premises has walking track , gym , and swimming pool .Does overfitting occur only when you have a large amount of data for training ?","['Below', 'are', 'the', 'steps', 'for', 'building', 'a', 'decision', 'tree', ':', 'For', 'input', ',', 'take', 'the', 'whole', 'data', 'set', '•', 'Calculate', 'the', 'entropy', 'of', 'the', 'class', 'variables', 'and', 'predictor', 'attributes', '•', 'Calculate', 'entropy', 'after', 'splitting', 'the', 'attributes', '•', 'Calculate', 'information', 'gain', 'of', 'all', 'attribute', 'splits', '•', 'Select', 'as', 'root', 'node', 'the', 'attribute', 'with', 'the', 'highest', 'information', 'gain', '•', 'Repeat', 'the', 'process', 'for', 'all', 'branches', 'until', 'you', 'finalize', 'the', 'decision', 'node', 'of', 'each', 'branch', 'For', 'example', ',', 'if', 'you', 'want', 'to', 'make', 'a', 'decision', 'tree', 'for', 'deciding', 'whether', 'you', 'should', 'buy', 'a', 'certain', 'flat', 'or', 'not', ',', 'this', 'is', 'how', 'the', 'decision', 'tree', 'may', 'look', 'like', ':', 'We', 'can', 'see', 'from', 'the', 'decision', 'tree', 'that', 'the', 'flat', 'will', 'be', 'bought', 'if', ':', 'The', 'cost', 'of', 'the', 'flat', 'is', 'less', 'than', 'INR', ' ', 'The', 'premises', 'has', 'walking', 'track', ',', 'gym', ',', 'and', 'swimming', 'pool', '.Does', 'overfitting', 'occur', 'only', 'when', 'you', 'have', 'a', 'large', 'amount', 'of', 'data', 'for', 'training', '?']",• Calculate,• Select,"(18, 19)","(18, 29, 36, 44, 45, 56)",0,0,0,0,0,0
"Below are the steps for building a decision tree : For input , take the whole data set • Calculate the entropy of the class variables and predictor attributes • Calculate entropy after splitting the attributes • Calculate information gain of all attribute splits • Select as root node the attribute with the highest information gain • Repeat the process for all branches until you finalize the decision node of each branch For example , if you want to make a decision tree for deciding whether you should buy a certain flat or not , this is how the decision tree may look like : We can see from the decision tree that the flat will be bought if : The cost of the flat is less than INR  The premises has walking track , gym , and swimming pool .Does overfitting occur only when you have a large amount of data for training ?","['Below', 'are', 'the', 'steps', 'for', 'building', 'a', 'decision', 'tree', ':', 'For', 'input', ',', 'take', 'the', 'whole', 'data', 'set', '•', 'Calculate', 'the', 'entropy', 'of', 'the', 'class', 'variables', 'and', 'predictor', 'attributes', '•', 'Calculate', 'entropy', 'after', 'splitting', 'the', 'attributes', '•', 'Calculate', 'information', 'gain', 'of', 'all', 'attribute', 'splits', '•', 'Select', 'as', 'root', 'node', 'the', 'attribute', 'with', 'the', 'highest', 'information', 'gain', '•', 'Repeat', 'the', 'process', 'for', 'all', 'branches', 'until', 'you', 'finalize', 'the', 'decision', 'node', 'of', 'each', 'branch', 'For', 'example', ',', 'if', 'you', 'want', 'to', 'make', 'a', 'decision', 'tree', 'for', 'deciding', 'whether', 'you', 'should', 'buy', 'a', 'certain', 'flat', 'or', 'not', ',', 'this', 'is', 'how', 'the', 'decision', 'tree', 'may', 'look', 'like', ':', 'We', 'can', 'see', 'from', 'the', 'decision', 'tree', 'that', 'the', 'flat', 'will', 'be', 'bought', 'if', ':', 'The', 'cost', 'of', 'the', 'flat', 'is', 'less', 'than', 'INR', ' ', 'The', 'premises', 'has', 'walking', 'track', ',', 'gym', ',', 'and', 'swimming', 'pool', '.Does', 'overfitting', 'occur', 'only', 'when', 'you', 'have', 'a', 'large', 'amount', 'of', 'data', 'for', 'training', '?']",• Calculate,• Repeat,"(18, 19)","(18, 29, 36, 44, 56, 57)",0,0,0,0,0,0
"Below are the steps for building a decision tree : For input , take the whole data set • Calculate the entropy of the class variables and predictor attributes • Calculate entropy after splitting the attributes • Calculate information gain of all attribute splits • Select as root node the attribute with the highest information gain • Repeat the process for all branches until you finalize the decision node of each branch For example , if you want to make a decision tree for deciding whether you should buy a certain flat or not , this is how the decision tree may look like : We can see from the decision tree that the flat will be bought if : The cost of the flat is less than INR  The premises has walking track , gym , and swimming pool .Does overfitting occur only when you have a large amount of data for training ?","['Below', 'are', 'the', 'steps', 'for', 'building', 'a', 'decision', 'tree', ':', 'For', 'input', ',', 'take', 'the', 'whole', 'data', 'set', '•', 'Calculate', 'the', 'entropy', 'of', 'the', 'class', 'variables', 'and', 'predictor', 'attributes', '•', 'Calculate', 'entropy', 'after', 'splitting', 'the', 'attributes', '•', 'Calculate', 'information', 'gain', 'of', 'all', 'attribute', 'splits', '•', 'Select', 'as', 'root', 'node', 'the', 'attribute', 'with', 'the', 'highest', 'information', 'gain', '•', 'Repeat', 'the', 'process', 'for', 'all', 'branches', 'until', 'you', 'finalize', 'the', 'decision', 'node', 'of', 'each', 'branch', 'For', 'example', ',', 'if', 'you', 'want', 'to', 'make', 'a', 'decision', 'tree', 'for', 'deciding', 'whether', 'you', 'should', 'buy', 'a', 'certain', 'flat', 'or', 'not', ',', 'this', 'is', 'how', 'the', 'decision', 'tree', 'may', 'look', 'like', ':', 'We', 'can', 'see', 'from', 'the', 'decision', 'tree', 'that', 'the', 'flat', 'will', 'be', 'bought', 'if', ':', 'The', 'cost', 'of', 'the', 'flat', 'is', 'less', 'than', 'INR', ' ', 'The', 'premises', 'has', 'walking', 'track', ',', 'gym', ',', 'and', 'swimming', 'pool', '.Does', 'overfitting', 'occur', 'only', 'when', 'you', 'have', 'a', 'large', 'amount', 'of', 'data', 'for', 'training', '?']",• Calculate,INR,"(18, 19)","(128, 128)",1,1,0,0,2,0
"Below are the steps for building a decision tree : For input , take the whole data set • Calculate the entropy of the class variables and predictor attributes • Calculate entropy after splitting the attributes • Calculate information gain of all attribute splits • Select as root node the attribute with the highest information gain • Repeat the process for all branches until you finalize the decision node of each branch For example , if you want to make a decision tree for deciding whether you should buy a certain flat or not , this is how the decision tree may look like : We can see from the decision tree that the flat will be bought if : The cost of the flat is less than INR  The premises has walking track , gym , and swimming pool .Does overfitting occur only when you have a large amount of data for training ?","['Below', 'are', 'the', 'steps', 'for', 'building', 'a', 'decision', 'tree', ':', 'For', 'input', ',', 'take', 'the', 'whole', 'data', 'set', '•', 'Calculate', 'the', 'entropy', 'of', 'the', 'class', 'variables', 'and', 'predictor', 'attributes', '•', 'Calculate', 'entropy', 'after', 'splitting', 'the', 'attributes', '•', 'Calculate', 'information', 'gain', 'of', 'all', 'attribute', 'splits', '•', 'Select', 'as', 'root', 'node', 'the', 'attribute', 'with', 'the', 'highest', 'information', 'gain', '•', 'Repeat', 'the', 'process', 'for', 'all', 'branches', 'until', 'you', 'finalize', 'the', 'decision', 'node', 'of', 'each', 'branch', 'For', 'example', ',', 'if', 'you', 'want', 'to', 'make', 'a', 'decision', 'tree', 'for', 'deciding', 'whether', 'you', 'should', 'buy', 'a', 'certain', 'flat', 'or', 'not', ',', 'this', 'is', 'how', 'the', 'decision', 'tree', 'may', 'look', 'like', ':', 'We', 'can', 'see', 'from', 'the', 'decision', 'tree', 'that', 'the', 'flat', 'will', 'be', 'bought', 'if', ':', 'The', 'cost', 'of', 'the', 'flat', 'is', 'less', 'than', 'INR', ' ', 'The', 'premises', 'has', 'walking', 'track', ',', 'gym', ',', 'and', 'swimming', 'pool', '.Does', 'overfitting', 'occur', 'only', 'when', 'you', 'have', 'a', 'large', 'amount', 'of', 'data', 'for', 'training', '?']",• Calculate,• Calculate,"(18, 19)","(18, 19, 29, 30, 36, 37, 44, 56)",0,0,0,0,0,0
"Below are the steps for building a decision tree : For input , take the whole data set • Calculate the entropy of the class variables and predictor attributes • Calculate entropy after splitting the attributes • Calculate information gain of all attribute splits • Select as root node the attribute with the highest information gain • Repeat the process for all branches until you finalize the decision node of each branch For example , if you want to make a decision tree for deciding whether you should buy a certain flat or not , this is how the decision tree may look like : We can see from the decision tree that the flat will be bought if : The cost of the flat is less than INR  The premises has walking track , gym , and swimming pool .Does overfitting occur only when you have a large amount of data for training ?","['Below', 'are', 'the', 'steps', 'for', 'building', 'a', 'decision', 'tree', ':', 'For', 'input', ',', 'take', 'the', 'whole', 'data', 'set', '•', 'Calculate', 'the', 'entropy', 'of', 'the', 'class', 'variables', 'and', 'predictor', 'attributes', '•', 'Calculate', 'entropy', 'after', 'splitting', 'the', 'attributes', '•', 'Calculate', 'information', 'gain', 'of', 'all', 'attribute', 'splits', '•', 'Select', 'as', 'root', 'node', 'the', 'attribute', 'with', 'the', 'highest', 'information', 'gain', '•', 'Repeat', 'the', 'process', 'for', 'all', 'branches', 'until', 'you', 'finalize', 'the', 'decision', 'node', 'of', 'each', 'branch', 'For', 'example', ',', 'if', 'you', 'want', 'to', 'make', 'a', 'decision', 'tree', 'for', 'deciding', 'whether', 'you', 'should', 'buy', 'a', 'certain', 'flat', 'or', 'not', ',', 'this', 'is', 'how', 'the', 'decision', 'tree', 'may', 'look', 'like', ':', 'We', 'can', 'see', 'from', 'the', 'decision', 'tree', 'that', 'the', 'flat', 'will', 'be', 'bought', 'if', ':', 'The', 'cost', 'of', 'the', 'flat', 'is', 'less', 'than', 'INR', ' ', 'The', 'premises', 'has', 'walking', 'track', ',', 'gym', ',', 'and', 'swimming', 'pool', '.Does', 'overfitting', 'occur', 'only', 'when', 'you', 'have', 'a', 'large', 'amount', 'of', 'data', 'for', 'training', '?']",• Calculate,• Select,"(18, 19)","(18, 29, 36, 44, 45, 56)",0,0,0,0,0,0
"Below are the steps for building a decision tree : For input , take the whole data set • Calculate the entropy of the class variables and predictor attributes • Calculate entropy after splitting the attributes • Calculate information gain of all attribute splits • Select as root node the attribute with the highest information gain • Repeat the process for all branches until you finalize the decision node of each branch For example , if you want to make a decision tree for deciding whether you should buy a certain flat or not , this is how the decision tree may look like : We can see from the decision tree that the flat will be bought if : The cost of the flat is less than INR  The premises has walking track , gym , and swimming pool .Does overfitting occur only when you have a large amount of data for training ?","['Below', 'are', 'the', 'steps', 'for', 'building', 'a', 'decision', 'tree', ':', 'For', 'input', ',', 'take', 'the', 'whole', 'data', 'set', '•', 'Calculate', 'the', 'entropy', 'of', 'the', 'class', 'variables', 'and', 'predictor', 'attributes', '•', 'Calculate', 'entropy', 'after', 'splitting', 'the', 'attributes', '•', 'Calculate', 'information', 'gain', 'of', 'all', 'attribute', 'splits', '•', 'Select', 'as', 'root', 'node', 'the', 'attribute', 'with', 'the', 'highest', 'information', 'gain', '•', 'Repeat', 'the', 'process', 'for', 'all', 'branches', 'until', 'you', 'finalize', 'the', 'decision', 'node', 'of', 'each', 'branch', 'For', 'example', ',', 'if', 'you', 'want', 'to', 'make', 'a', 'decision', 'tree', 'for', 'deciding', 'whether', 'you', 'should', 'buy', 'a', 'certain', 'flat', 'or', 'not', ',', 'this', 'is', 'how', 'the', 'decision', 'tree', 'may', 'look', 'like', ':', 'We', 'can', 'see', 'from', 'the', 'decision', 'tree', 'that', 'the', 'flat', 'will', 'be', 'bought', 'if', ':', 'The', 'cost', 'of', 'the', 'flat', 'is', 'less', 'than', 'INR', ' ', 'The', 'premises', 'has', 'walking', 'track', ',', 'gym', ',', 'and', 'swimming', 'pool', '.Does', 'overfitting', 'occur', 'only', 'when', 'you', 'have', 'a', 'large', 'amount', 'of', 'data', 'for', 'training', '?']",• Calculate,• Repeat,"(18, 19)","(18, 29, 36, 44, 56, 57)",0,0,0,0,0,0
"Below are the steps for building a decision tree : For input , take the whole data set • Calculate the entropy of the class variables and predictor attributes • Calculate entropy after splitting the attributes • Calculate information gain of all attribute splits • Select as root node the attribute with the highest information gain • Repeat the process for all branches until you finalize the decision node of each branch For example , if you want to make a decision tree for deciding whether you should buy a certain flat or not , this is how the decision tree may look like : We can see from the decision tree that the flat will be bought if : The cost of the flat is less than INR  The premises has walking track , gym , and swimming pool .Does overfitting occur only when you have a large amount of data for training ?","['Below', 'are', 'the', 'steps', 'for', 'building', 'a', 'decision', 'tree', ':', 'For', 'input', ',', 'take', 'the', 'whole', 'data', 'set', '•', 'Calculate', 'the', 'entropy', 'of', 'the', 'class', 'variables', 'and', 'predictor', 'attributes', '•', 'Calculate', 'entropy', 'after', 'splitting', 'the', 'attributes', '•', 'Calculate', 'information', 'gain', 'of', 'all', 'attribute', 'splits', '•', 'Select', 'as', 'root', 'node', 'the', 'attribute', 'with', 'the', 'highest', 'information', 'gain', '•', 'Repeat', 'the', 'process', 'for', 'all', 'branches', 'until', 'you', 'finalize', 'the', 'decision', 'node', 'of', 'each', 'branch', 'For', 'example', ',', 'if', 'you', 'want', 'to', 'make', 'a', 'decision', 'tree', 'for', 'deciding', 'whether', 'you', 'should', 'buy', 'a', 'certain', 'flat', 'or', 'not', ',', 'this', 'is', 'how', 'the', 'decision', 'tree', 'may', 'look', 'like', ':', 'We', 'can', 'see', 'from', 'the', 'decision', 'tree', 'that', 'the', 'flat', 'will', 'be', 'bought', 'if', ':', 'The', 'cost', 'of', 'the', 'flat', 'is', 'less', 'than', 'INR', ' ', 'The', 'premises', 'has', 'walking', 'track', ',', 'gym', ',', 'and', 'swimming', 'pool', '.Does', 'overfitting', 'occur', 'only', 'when', 'you', 'have', 'a', 'large', 'amount', 'of', 'data', 'for', 'training', '?']",• Calculate,INR,"(18, 19)","(128, 128)",1,1,0,0,2,0
